alert_type,fase,date,time,severity,sign_id,rev,rule_name,classification,priority,protocol,from_addr,from_port,to_addr,to_port
Exe Alert,Delivery,09/21/2016,08:41:02.081452,1,2031747,1,ET HUNTING Observed Interesting Content-Type Inbound (application/x-sh) ,Potential Corporate Privacy Violation,1,TCP,74.208.78.147,80,192.168.1.56,49735
Exe Alert,Delivery,09/21/2016,08:41:41.619092,1,2015704,6,ET INFO DoSWF Flash Encryption Banner ,Attempted User Privilege Gain,1,TCP,74.208.78.147,80,192.168.1.56,49735
Exe Alert,Delivery,09/21/2016,08:41:44.292384,1,2031747,1,ET HUNTING Observed Interesting Content-Type Inbound (application/x-sh) ,Potential Corporate Privacy Violation,1,TCP,74.208.78.147,80,192.168.1.56,49735
Exe Alert,Delivery,09/21/2016,08:41:58.462263,1,2031747,1,ET HUNTING Observed Interesting Content-Type Inbound (application/x-sh) ,Potential Corporate Privacy Violation,1,TCP,74.208.78.147,80,192.168.1.56,49745
Exe Alert,Delivery,09/21/2016,08:43:08.456749,1,2015704,6,ET INFO DoSWF Flash Encryption Banner ,Attempted User Privilege Gain,1,TCP,74.208.78.147,80,192.168.1.56,49745
Exe Alert,Delivery,09/21/2016,08:40:54.400184,1,2015704,6,ET INFO DoSWF Flash Encryption Banner ,Attempted User Privilege Gain,1,TCP,74.208.78.147,80,192.168.1.56,49735
Exploit Kit Alert,Exploitation,09/21/2016,08:41:56.749449,1,2020722,4,ET EXPLOIT_KIT RIG Landing URI Struct March 20 2015 ,Exploit Kit Activity Detected,1,TCP,192.168.1.56,49745,74.208.78.147,80
Exploit Kit Alert,Exploitation,09/21/2016,08:40:56.895686,1,2022962,4,ET EXPLOIT_KIT Evil Redirector Leading to EK Jul 12 2016 ,Exploit Kit Activity Detected,1,TCP,192.185.142.145,80,192.168.1.56,49730
Exploit Kit Alert,Exploitation,09/21/2016,08:41:00.420334,1,2020722,4,ET EXPLOIT_KIT RIG Landing URI Struct March 20 2015 ,Exploit Kit Activity Detected,1,TCP,192.168.1.56,49735,74.208.78.147,80
Exploit Kit Alert,Exploitation,09/21/2016,08:41:01.088783,1,2023196,2,ET EXPLOIT_KIT RIG EK Landing Sep 12 2016 T2 ,Exploit Kit Activity Detected,1,TCP,74.208.78.147,80,192.168.1.56,49735
Exploit Kit Alert,Exploitation,09/21/2016,08:41:02.080999,1,2020721,4,ET EXPLOIT_KIT RIG Exploit URI Struct March 20 2015 ,Exploit Kit Activity Detected,1,TCP,192.168.1.56,49735,74.208.78.147,80
Exploit Kit Alert,Exploitation,09/21/2016,08:41:05.244472,1,2020720,3,ET EXPLOIT_KIT RIG Payload URI Struct March 20 2015 ,Exploit Kit Activity Detected,1,TCP,192.168.1.56,49738,74.208.78.147,80
Exploit Kit Alert,Exploitation,09/21/2016,08:41:42.607532,1,2020722,4,ET EXPLOIT_KIT RIG Landing URI Struct March 20 2015 ,Exploit Kit Activity Detected,1,TCP,192.168.1.56,49735,74.208.78.147,80
Exploit Kit Alert,Exploitation,09/21/2016,08:41:43.323273,1,2023196,2,ET EXPLOIT_KIT RIG EK Landing Sep 12 2016 T2 ,Exploit Kit Activity Detected,1,TCP,74.208.78.147,80,192.168.1.56,49735
Exploit Kit Alert,Exploitation,09/21/2016,08:41:44.292296,1,2020721,4,ET EXPLOIT_KIT RIG Exploit URI Struct March 20 2015 ,Exploit Kit Activity Detected,1,TCP,192.168.1.56,49735,74.208.78.147,80
Exploit Kit Alert,Exploitation,09/21/2016,08:42:01.351136,1,2020720,3,ET EXPLOIT_KIT RIG Payload URI Struct March 20 2015 ,Exploit Kit Activity Detected,1,TCP,192.168.1.56,49746,74.208.78.147,80
Exploit Kit Alert,Exploitation,09/21/2016,08:41:57.476715,1,2023196,2,ET EXPLOIT_KIT RIG EK Landing Sep 12 2016 T2 ,Exploit Kit Activity Detected,1,TCP,74.208.78.147,80,192.168.1.56,49745
Exploit Kit Alert,Exploitation,09/21/2016,08:41:58.462079,1,2020721,4,ET EXPLOIT_KIT RIG Exploit URI Struct March 20 2015 ,Exploit Kit Activity Detected,1,TCP,192.168.1.56,49745,74.208.78.147,80
