alert_type,fase,date,time,severity,sign_id,rev,rule_name,classification,priority,protocol,from_addr,from_port,to_addr,to_port
Exe Alert,Delivery,01/19/2017,00:38:03.986525,1,2031747,1,ET HUNTING Observed Interesting Content-Type Inbound (application/x-sh) ,Potential Corporate Privacy Violation,1,TCP,88.99.41.189,80,192.168.10.10,49220
Exe Alert,Delivery,01/19/2017,00:38:08.797556,1,2018572,2,ET HUNTING HTTP Executable Download from suspicious domain with direct request/fake browser (multiple families)  ,A Network Trojan was detected,1,TCP,93.190.143.185,80,192.168.10.10,59667
Exe Alert,Delivery,01/19/2017,00:38:08.797556,1,2014520,7,ET INFO EXE - Served Attached HTTP ,Misc activity,3,TCP,93.190.143.185,80,192.168.10.10,59667
Exe Alert,Delivery,01/19/2017,00:38:11.424212,1,2031747,1,ET HUNTING Observed Interesting Content-Type Inbound (application/x-sh) ,Potential Corporate Privacy Violation,1,TCP,88.99.41.189,80,192.168.10.10,59683
Exe Alert,Delivery,01/19/2017,00:38:11.533254,1,2031747,1,ET HUNTING Observed Interesting Content-Type Inbound (application/x-sh) ,Potential Corporate Privacy Violation,1,TCP,88.99.41.189,80,192.168.10.10,59684
Exe Alert,Delivery,01/19/2017,00:38:04.021189,1,2031747,1,ET HUNTING Observed Interesting Content-Type Inbound (application/x-sh) ,Potential Corporate Privacy Violation,1,TCP,88.99.41.189,80,192.168.10.10,49221
Exe Alert,Delivery,01/19/2017,00:38:04.191300,1,2031747,1,ET HUNTING Observed Interesting Content-Type Inbound (application/x-sh) ,Potential Corporate Privacy Violation,1,TCP,88.99.41.189,80,192.168.10.10,49229
Exe Alert,Delivery,01/19/2017,00:38:04.518688,1,2015704,6,ET INFO DoSWF Flash Encryption Banner ,Attempted User Privilege Gain,1,TCP,88.99.41.189,80,192.168.10.10,49229
Exe Alert,Delivery,01/19/2017,00:38:05.901575,1,2031747,1,ET HUNTING Observed Interesting Content-Type Inbound (application/x-sh) ,Potential Corporate Privacy Violation,1,TCP,88.99.41.189,80,192.168.10.10,49229
Exe Alert,Delivery,01/19/2017,00:38:11.618597,1,2031747,1,ET HUNTING Observed Interesting Content-Type Inbound (application/x-sh) ,Potential Corporate Privacy Violation,1,TCP,88.99.41.189,80,192.168.10.10,59690
Exe Alert,Delivery,01/19/2017,00:38:11.945438,1,2015704,6,ET INFO DoSWF Flash Encryption Banner ,Attempted User Privilege Gain,1,TCP,88.99.41.189,80,192.168.10.10,59690
Exe Alert,Delivery,01/19/2017,00:38:13.227820,1,2031747,1,ET HUNTING Observed Interesting Content-Type Inbound (application/x-sh) ,Potential Corporate Privacy Violation,1,TCP,88.99.41.189,80,192.168.10.10,59690
Exe Alert,Delivery,01/19/2017,00:38:01.821288,1,2018572,2,ET HUNTING HTTP Executable Download from suspicious domain with direct request/fake browser (multiple families)  ,A Network Trojan was detected,1,TCP,93.190.143.185,80,192.168.10.10,59709
Exe Alert,Delivery,01/19/2017,00:38:01.821288,1,2014520,7,ET INFO EXE - Served Attached HTTP ,Misc activity,3,TCP,93.190.143.185,80,192.168.10.10,59709
Exe Alert,Delivery,01/19/2017,00:38:01.821288,1,2015704,6,ET INFO DoSWF Flash Encryption Banner ,Attempted User Privilege Gain,1,TCP,88.99.41.189,80,192.168.10.10,59684
Exe Alert,Delivery,01/19/2017,00:38:01.821288,1,2031747,1,ET HUNTING Observed Interesting Content-Type Inbound (application/x-sh) ,Potential Corporate Privacy Violation,1,TCP,88.99.41.189,80,192.168.10.10,59684
Exe Alert,Delivery,01/19/2017,00:38:01.821288,1,2031747,1,ET HUNTING Observed Interesting Content-Type Inbound (application/x-sh) ,Potential Corporate Privacy Violation,1,TCP,88.99.41.189,80,192.168.10.10,59683
Exe Alert,Delivery,01/19/2017,00:38:01.821288,1,2031747,1,ET HUNTING Observed Interesting Content-Type Inbound (application/x-sh) ,Potential Corporate Privacy Violation,1,TCP,88.99.41.189,80,192.168.10.10,49220
Exe Alert,Delivery,01/19/2017,00:38:01.821288,1,2015704,6,ET INFO DoSWF Flash Encryption Banner ,Attempted User Privilege Gain,1,TCP,88.99.41.189,80,192.168.10.10,49221
Exe Alert,Delivery,01/19/2017,00:38:01.821288,1,2031747,1,ET HUNTING Observed Interesting Content-Type Inbound (application/x-sh) ,Potential Corporate Privacy Violation,1,TCP,88.99.41.189,80,192.168.10.10,49221
