alert_type,fase,date,time,severity,sign_id,rev,rule_name,classification,priority,protocol,from_addr,from_port,to_addr,to_port
Exe Alert,Delivery,05/24/2017,11:04:17.570543,1,2017238,2,ET INFO Obfuscated Split String (Double Q) 6 ,Potentially Bad Traffic,2,TCP,109.234.36.68,80,192.168.1.3,49566
Exe Alert,Delivery,05/24/2017,11:04:19.405547,1,2031747,1,ET HUNTING Observed Interesting Content-Type Inbound (application/x-sh) ,Potential Corporate Privacy Violation,1,TCP,109.234.36.68,80,192.168.1.3,49566
Exploit Kit Alert,Exploitation,05/24/2017,11:04:21.864895,1,2024048,5,ET EXPLOIT_KIT RIG EK URI Struct Mar 13 2017 ,Exploit Kit Activity Detected,1,TCP,192.168.1.3,49567,109.234.36.68,80
Exploit Kit Alert,Exploitation,05/24/2017,11:04:21.864895,1,2024049,4,ET EXPLOIT_KIT RIG EK URI Struct Mar 13 2017 M2 ,Exploit Kit Activity Detected,1,TCP,192.168.1.3,49567,109.234.36.68,80
Exploit Kit Alert,Exploitation,05/24/2017,11:04:15.606465,1,2024048,5,ET EXPLOIT_KIT RIG EK URI Struct Mar 13 2017 ,Exploit Kit Activity Detected,1,TCP,192.168.1.3,49566,109.234.36.68,80
Exploit Kit Alert,Exploitation,05/24/2017,11:04:15.606465,1,2024049,4,ET EXPLOIT_KIT RIG EK URI Struct Mar 13 2017 M2 ,Exploit Kit Activity Detected,1,TCP,192.168.1.3,49566,109.234.36.68,80
Exploit Kit Alert,Exploitation,05/24/2017,11:04:16.618147,1,2024048,5,ET EXPLOIT_KIT RIG EK URI Struct Mar 13 2017 ,Exploit Kit Activity Detected,1,TCP,192.168.1.3,49566,109.234.36.68,80
Exploit Kit Alert,Exploitation,05/24/2017,11:04:16.618147,1,2024049,4,ET EXPLOIT_KIT RIG EK URI Struct Mar 13 2017 M2 ,Exploit Kit Activity Detected,1,TCP,192.168.1.3,49566,109.234.36.68,80
Exploit Kit Alert,Exploitation,05/24/2017,11:04:19.405255,1,2024048,5,ET EXPLOIT_KIT RIG EK URI Struct Mar 13 2017 ,Exploit Kit Activity Detected,1,TCP,192.168.1.3,49566,109.234.36.68,80
Exploit Kit Alert,Exploitation,05/24/2017,11:04:19.405255,1,2024049,4,ET EXPLOIT_KIT RIG EK URI Struct Mar 13 2017 M2 ,Exploit Kit Activity Detected,1,TCP,192.168.1.3,49566,109.234.36.68,80
