alert_type,fase,date,time,severity,sign_id,rev,rule_name,classification,priority,protocol,from_addr,from_port,to_addr,to_port
Exe Alert,Delivery,09/21/2017,08:05:43.158690,1,2016538,3,ET INFO Executable Retrieved With Minimal HTTP Headers - Potential Second Stage Download ,Potentially Bad Traffic,2,TCP,123.30.135.214,80,192.168.1.12,49219
Exe Alert,Delivery,09/21/2017,08:05:43.158690,1,2018572,2,ET HUNTING HTTP Executable Download from suspicious domain with direct request/fake browser (multiple families)  ,A Network Trojan was detected,1,TCP,123.30.135.214,80,192.168.1.12,49219
Malware Alert,Installation,09/21/2017,08:05:41.915070,1,2013036,7,ET MALWARE Java EXE Download by Vulnerable Version - Likely Driveby ,A Network Trojan was detected,1,TCP,123.30.135.214,80,192.168.1.12,49219
Malware Alert,Installation,09/21/2017,08:05:41.915070,1,2020569,1,ET MALWARE Unknown Trojan Downloading PE via MSSQL Connection to Non-Standard Port ,A Network Trojan was detected,1,TCP,123.30.135.214,80,192.168.1.12,49219
Malware Alert,Installation,09/21/2017,08:05:41.915070,1,2022050,3,ET MALWARE Likely Evil EXE download from dotted Quad by MSXMLHTTP M1 ,A Network Trojan was detected,1,TCP,123.30.135.214,80,192.168.1.12,49219
Malware Alert,Installation,09/21/2017,08:05:43.173044,1,2021312,2,ET MALWARE Likely Malicious wininet UA Downloading EXE ,A Network Trojan was detected,1,TCP,123.30.135.214,80,192.168.1.12,49219
Malware Alert,Installation,09/21/2017,08:05:43.173044,1,2022051,2,ET MALWARE Likely Evil EXE download from dotted Quad by MSXMLHTTP M2 ,A Network Trojan was detected,1,TCP,123.30.135.214,80,192.168.1.12,49219
Malware Alert,Installation,09/21/2017,08:05:43.173044,1,2022053,2,ET MALWARE Likely Evil EXE download from MSXMLHTTP non-exe extension M2 ,A Network Trojan was detected,1,TCP,123.30.135.214,80,192.168.1.12,49219
Malware Alert,Installation,09/21/2017,08:05:43.173044,1,2022653,2,ET MALWARE Likely Evil EXE download from WinHttpRequest non-exe extension ,A Network Trojan was detected,1,TCP,123.30.135.214,80,192.168.1.12,49219
Policy Alert,Data Exfiltartion,09/21/2017,08:05:43.158690,1,2018959,4,ET POLICY PE EXE or DLL Windows file download HTTP ,Potential Corporate Privacy Violation,1,TCP,123.30.135.214,80,192.168.1.12,49219
