alert_type,fase,date,time,severity,sign_id,rev,rule_name,classification,priority,protocol,from_addr,from_port,to_addr,to_port
Exe Alert,Delivery,01/20/2018,07:02:24.016452,1,2016538,3,ET INFO Executable Retrieved With Minimal HTTP Headers - Potential Second Stage Download ,Potentially Bad Traffic,2,TCP,75.119.200.80,80,192.168.4.117,49241
Exe Alert,Delivery,01/20/2018,07:02:24.016452,1,2018572,2,ET HUNTING HTTP Executable Download from suspicious domain with direct request/fake browser (multiple families)  ,A Network Trojan was detected,1,TCP,75.119.200.80,80,192.168.4.117,49241
Exe Alert,Delivery,01/20/2018,07:05:22.745155,1,2016538,3,ET INFO Executable Retrieved With Minimal HTTP Headers - Potential Second Stage Download ,Potentially Bad Traffic,2,TCP,69.163.163.39,80,192.168.4.117,49246
Exe Alert,Delivery,01/20/2018,07:05:22.745155,1,2018572,2,ET HUNTING HTTP Executable Download from suspicious domain with direct request/fake browser (multiple families)  ,A Network Trojan was detected,1,TCP,69.163.163.39,80,192.168.4.117,49246
Malware Alert,Installation,01/20/2018,07:02:23.512801,1,2013036,7,ET MALWARE Java EXE Download by Vulnerable Version - Likely Driveby ,A Network Trojan was detected,1,TCP,75.119.200.80,80,192.168.4.117,49241
Malware Alert,Installation,01/20/2018,07:02:23.512801,1,2020569,1,ET MALWARE Unknown Trojan Downloading PE via MSSQL Connection to Non-Standard Port ,A Network Trojan was detected,1,TCP,75.119.200.80,80,192.168.4.117,49241
Malware Alert,Installation,01/20/2018,07:02:23.512801,1,2022050,3,ET MALWARE Likely Evil EXE download from dotted Quad by MSXMLHTTP M1 ,A Network Trojan was detected,1,TCP,75.119.200.80,80,192.168.4.117,49241
Malware Alert,Installation,01/20/2018,07:10:08.058667,1,2023476,5,ET MALWARE ABUSE.CH SSL Blacklist Malicious SSL certificate detected (Dridex) ,A Network Trojan was detected,1,TCP,138.197.255.18,4143,192.168.4.117,49249
Malware Alert,Installation,01/20/2018,07:20:21.476436,1,2023476,5,ET MALWARE ABUSE.CH SSL Blacklist Malicious SSL certificate detected (Dridex) ,A Network Trojan was detected,1,TCP,108.166.114.38,4443,192.168.4.117,49255
Malware Alert,Installation,01/20/2018,07:02:24.033309,1,2008438,24,ET MALWARE Possible Windows executable sent when remote host claims to send a Text File ,A Network Trojan was detected,1,TCP,75.119.200.80,80,192.168.4.117,49241
