alert_type,fase,date,time,severity,sign_id,rev,rule_name,classification,priority,protocol,from_addr,from_port,to_addr,to_port
Exe Alert,Delivery,03/10/2018,09:02:20.702544,1,2018572,2,ET HUNTING HTTP Executable Download from suspicious domain with direct request/fake browser (multiple families)  ,A Network Trojan was detected,1,TCP,203.113.244.90,80,192.168.4.222,49732
Exe Alert,Delivery,03/10/2018,09:02:20.702544,1,2014520,7,ET INFO EXE - Served Attached HTTP ,Misc activity,3,TCP,203.113.244.90,80,192.168.4.222,49732
Exploit Kit Alert,Exploitation,03/10/2018,09:01:17.735493,1,2023743,3,ET EXPLOIT_KIT EITest SocEng Inject Jan 15 2017 M1 ,Possible Social Engineering Attempted,2,TCP,123.100.241.176,80,192.168.4.222,49719
Exploit Kit Alert,Exploitation,03/10/2018,09:01:14.709286,1,2024199,3,ET EXPLOIT_KIT EITest SocENG Inject M2 ,Possible Social Engineering Attempted,2,TCP,123.100.241.176,80,192.168.4.222,49719
Malware Alert,Installation,03/10/2018,09:02:20.208072,1,2013036,7,ET MALWARE Java EXE Download by Vulnerable Version - Likely Driveby ,A Network Trojan was detected,1,TCP,203.113.244.90,80,192.168.4.222,49732
Malware Alert,Installation,03/10/2018,09:02:20.208072,1,2020569,1,ET MALWARE Unknown Trojan Downloading PE via MSSQL Connection to Non-Standard Port ,A Network Trojan was detected,1,TCP,203.113.244.90,80,192.168.4.222,49732
Malware Alert,Installation,03/10/2018,09:02:20.208072,1,2022050,3,ET MALWARE Likely Evil EXE download from dotted Quad by MSXMLHTTP M1 ,A Network Trojan was detected,1,TCP,203.113.244.90,80,192.168.4.222,49732
Malware Alert,Installation,03/10/2018,09:02:20.702544,1,2021312,2,ET MALWARE Likely Malicious wininet UA Downloading EXE ,A Network Trojan was detected,1,TCP,203.113.244.90,80,192.168.4.222,49732
Malware Alert,Installation,03/10/2018,09:02:20.702544,1,2022051,2,ET MALWARE Likely Evil EXE download from dotted Quad by MSXMLHTTP M2 ,A Network Trojan was detected,1,TCP,203.113.244.90,80,192.168.4.222,49732
Malware Alert,Installation,03/10/2018,09:02:20.702544,1,2022053,2,ET MALWARE Likely Evil EXE download from MSXMLHTTP non-exe extension M2 ,A Network Trojan was detected,1,TCP,203.113.244.90,80,192.168.4.222,49732
Malware Alert,Installation,03/10/2018,09:02:20.702544,1,2022653,2,ET MALWARE Likely Evil EXE download from WinHttpRequest non-exe extension ,A Network Trojan was detected,1,TCP,203.113.244.90,80,192.168.4.222,49732
Policy Alert,Data Exfiltartion,03/10/2018,09:02:20.702932,1,2018959,4,ET POLICY PE EXE or DLL Windows file download HTTP ,Potential Corporate Privacy Violation,1,TCP,203.113.244.90,80,192.168.4.222,49732
