alert_type,fase,date,time,severity,sign_id,rev,rule_name,classification,priority,protocol,from_addr,from_port,to_addr,to_port
Exe Alert,Delivery,08/03/2019,01:06:01.718041,1,2016141,7,ET INFO Executable Download from dotted-quad Host ,A Network Trojan was detected,1,TCP,192.168.4.210,49215,81.171.31.247,4567
Exe Alert,Delivery,08/03/2019,01:06:02.673997,1,2014819,3,ET INFO Packed Executable Download ,Misc activity,3,TCP,81.171.31.247,4567,192.168.4.210,49215
Exe Alert,Delivery,08/03/2019,01:06:03.078620,1,2021076,2,ET HUNTING SUSPICIOUS Dotted Quad Host MZ Response ,Potentially Bad Traffic,2,TCP,81.171.31.247,4567,192.168.4.210,49215
Exe Alert,Delivery,08/03/2019,01:06:03.078620,1,2018572,2,ET HUNTING HTTP Executable Download from suspicious domain with direct request/fake browser (multiple families)  ,A Network Trojan was detected,1,TCP,81.171.31.247,4567,192.168.4.210,49215
Exe Alert,Delivery,08/03/2019,01:06:03.078620,1,2014520,7,ET INFO EXE - Served Attached HTTP ,Misc activity,3,TCP,81.171.31.247,4567,192.168.4.210,49215
Exploit Kit Alert,Exploitation,08/03/2019,01:06:03.094543,1,2019823,7,ET EXPLOIT_KIT WinHttpRequest Downloading EXE Non-Port 80 (Likely Exploit Kit) ,Exploit Kit Activity Detected,1,TCP,81.171.31.247,4567,192.168.4.210,49215
Exploit Kit Alert,Exploitation,08/03/2019,01:06:03.094543,1,2020500,4,ET EXPLOIT_KIT DRIVEBY Likely Evil EXE with no referer from HFS webserver (used by Unknown EK) ,Exploit Kit Activity Detected,1,TCP,81.171.31.247,4567,192.168.4.210,49215
Exploit Kit Alert,Exploitation,08/03/2019,01:05:55.680517,1,2027787,3,ET EXPLOIT_KIT Obfuscated LordEK Landing M1 ,Exploit Kit Activity Detected,1,TCP,18.223.41.243,80,192.168.4.210,49209
Exploit Kit Alert,Exploitation,08/03/2019,01:05:59.704395,1,2027788,2,ET EXPLOIT_KIT Observed LordEK HTTP POST Request ,Exploit Kit Activity Detected,1,TCP,192.168.4.210,49210,18.223.41.243,80
Malware Alert,Installation,08/03/2019,01:06:02.673997,1,2013036,7,ET MALWARE Java EXE Download by Vulnerable Version - Likely Driveby ,A Network Trojan was detected,1,TCP,81.171.31.247,4567,192.168.4.210,49215
Malware Alert,Installation,08/03/2019,01:06:02.673997,1,2020569,1,ET MALWARE Unknown Trojan Downloading PE via MSSQL Connection to Non-Standard Port ,A Network Trojan was detected,1,TCP,81.171.31.247,4567,192.168.4.210,49215
Malware Alert,Installation,08/03/2019,01:06:02.673997,1,2022050,3,ET MALWARE Likely Evil EXE download from dotted Quad by MSXMLHTTP M1 ,A Network Trojan was detected,1,TCP,81.171.31.247,4567,192.168.4.210,49215
Malware Alert,Installation,08/03/2019,01:06:03.078785,1,2021312,2,ET MALWARE Likely Malicious wininet UA Downloading EXE ,A Network Trojan was detected,1,TCP,81.171.31.247,4567,192.168.4.210,49215
Malware Alert,Installation,08/03/2019,01:06:03.078785,1,2022051,2,ET MALWARE Likely Evil EXE download from dotted Quad by MSXMLHTTP M2 ,A Network Trojan was detected,1,TCP,81.171.31.247,4567,192.168.4.210,49215
Malware Alert,Installation,08/03/2019,01:06:03.078785,1,2022053,2,ET MALWARE Likely Evil EXE download from MSXMLHTTP non-exe extension M2 ,A Network Trojan was detected,1,TCP,81.171.31.247,4567,192.168.4.210,49215
Malware Alert,Installation,08/03/2019,01:06:03.078785,1,2022653,2,ET MALWARE Likely Evil EXE download from WinHttpRequest non-exe extension ,A Network Trojan was detected,1,TCP,81.171.31.247,4567,192.168.4.210,49215
Malware Alert,Installation,08/03/2019,01:06:22.091189,1,2027802,3,ET MALWARE Win32/Eris Ransomware CnC Checkin ,Malware Command and Control Activity Detected,1,TCP,192.168.4.210,49218,198.251.80.48,80
Policy Alert,Data Exfiltartion,08/03/2019,01:06:03.094543,1,2018959,4,ET POLICY PE EXE or DLL Windows file download HTTP ,Potential Corporate Privacy Violation,1,TCP,81.171.31.247,4567,192.168.4.210,49215
Policy Alert,Data Exfiltartion,08/03/2019,01:06:13.083244,1,2027765,3,ET POLICY External IP Lookup (extreme-ip-lookup .com) ,Device Retrieving External IP Address Detected,2,TCP,192.168.4.210,49217,3.121.224.43,80
