alert_type,fase,date,time,severity,sign_id,rev,rule_name,classification,priority,protocol,from_addr,from_port,to_addr,to_port
Exe Alert,Delivery,11/11/2019,19:22:13.230848,1,2014473,5,ET INFO JAVA - Java Archive Download By Vulnerable Client ,A Network Trojan was detected,1,TCP,64.20.51.18,80,192.168.4.15,49246
Exe Alert,Delivery,11/11/2019,19:25:35.059375,1,2018572,2,ET HUNTING HTTP Executable Download from suspicious domain with direct request/fake browser (multiple families)  ,A Network Trojan was detected,1,TCP,185.88.178.186,80,192.168.4.15,49253
Exe Alert,Delivery,11/11/2019,19:25:35.059375,1,2014520,7,ET INFO EXE - Served Attached HTTP ,Misc activity,3,TCP,185.88.178.186,80,192.168.4.15,49253
Exe Alert,Delivery,11/11/2019,19:25:26.682476,1,2018572,2,ET HUNTING HTTP Executable Download from suspicious domain with direct request/fake browser (multiple families)  ,A Network Trojan was detected,1,TCP,185.88.178.186,80,192.168.4.15,49252
Exe Alert,Delivery,11/11/2019,19:25:26.682476,1,2014520,7,ET INFO EXE - Served Attached HTTP ,Misc activity,3,TCP,185.88.178.186,80,192.168.4.15,49252
Exe Alert,Delivery,11/11/2019,19:26:00.734236,1,2014819,3,ET INFO Packed Executable Download ,Misc activity,3,TCP,185.88.178.186,80,192.168.4.15,49254
Exe Alert,Delivery,11/11/2019,19:26:01.164963,1,2018572,2,ET HUNTING HTTP Executable Download from suspicious domain with direct request/fake browser (multiple families)  ,A Network Trojan was detected,1,TCP,185.88.178.186,80,192.168.4.15,49254
Exe Alert,Delivery,11/11/2019,19:26:01.164963,1,2014520,7,ET INFO EXE - Served Attached HTTP ,Misc activity,3,TCP,185.88.178.186,80,192.168.4.15,49254
Malware Alert,Installation,11/11/2019,19:25:26.455113,1,2013036,7,ET MALWARE Java EXE Download by Vulnerable Version - Likely Driveby ,A Network Trojan was detected,1,TCP,185.88.178.186,80,192.168.4.15,49252
Malware Alert,Installation,11/11/2019,19:25:26.455113,1,2020569,1,ET MALWARE Unknown Trojan Downloading PE via MSSQL Connection to Non-Standard Port ,A Network Trojan was detected,1,TCP,185.88.178.186,80,192.168.4.15,49252
Malware Alert,Installation,11/11/2019,19:25:26.455113,1,2022050,3,ET MALWARE Likely Evil EXE download from dotted Quad by MSXMLHTTP M1 ,A Network Trojan was detected,1,TCP,185.88.178.186,80,192.168.4.15,49252
Malware Alert,Installation,11/11/2019,19:25:26.682476,1,2019165,4,ET MALWARE Possible Banload Downloading Executable ,A Network Trojan was detected,1,TCP,185.88.178.186,80,192.168.4.15,49252
Malware Alert,Installation,11/11/2019,19:25:26.682476,1,2021312,2,ET MALWARE Likely Malicious wininet UA Downloading EXE ,A Network Trojan was detected,1,TCP,185.88.178.186,80,192.168.4.15,49252
