alert_type,fase,date,time,severity,sign_id,rev,rule_name,classification,priority,protocol,from_addr,from_port,to_addr,to_port
Exe Alert,Delivery,11/30/2019,23:17:56.648923,1,2022896,6,ET HUNTING SUSPICIOUS Firesale gTLD EXE DL with no Referer June 13 2016 ,A Network Trojan was detected,1,TCP,192.168.4.125,50974,185.205.210.118,80
Exe Alert,Delivery,11/30/2019,23:17:56.649923,1,2014819,3,ET INFO Packed Executable Download ,Misc activity,3,TCP,185.205.210.118,80,192.168.4.125,50974
Exe Alert,Delivery,11/30/2019,23:17:57.028735,1,2018572,2,ET HUNTING HTTP Executable Download from suspicious domain with direct request/fake browser (multiple families)  ,A Network Trojan was detected,1,TCP,185.205.210.118,80,192.168.4.125,50974
Exe Alert,Delivery,11/30/2019,23:17:58.987346,1,2022896,6,ET HUNTING SUSPICIOUS Firesale gTLD EXE DL with no Referer June 13 2016 ,A Network Trojan was detected,1,TCP,192.168.4.125,50974,185.205.210.118,80
Exe Alert,Delivery,11/30/2019,23:17:58.987526,1,2014819,3,ET INFO Packed Executable Download ,Misc activity,3,TCP,185.205.210.118,80,192.168.4.125,50974
Exe Alert,Delivery,11/30/2019,23:17:59.110443,1,2018572,2,ET HUNTING HTTP Executable Download from suspicious domain with direct request/fake browser (multiple families)  ,A Network Trojan was detected,1,TCP,185.205.210.118,80,192.168.4.125,50974
Exe Alert,Delivery,11/30/2019,23:18:00.297511,1,2022896,6,ET HUNTING SUSPICIOUS Firesale gTLD EXE DL with no Referer June 13 2016 ,A Network Trojan was detected,1,TCP,192.168.4.125,50974,185.205.210.118,80
Exe Alert,Delivery,11/30/2019,23:18:00.412502,1,2018572,2,ET HUNTING HTTP Executable Download from suspicious domain with direct request/fake browser (multiple families)  ,A Network Trojan was detected,1,TCP,185.205.210.118,80,192.168.4.125,50974
Exe Alert,Delivery,11/30/2019,23:18:01.473794,1,2022896,6,ET HUNTING SUSPICIOUS Firesale gTLD EXE DL with no Referer June 13 2016 ,A Network Trojan was detected,1,TCP,192.168.4.125,50974,185.205.210.118,80
Exe Alert,Delivery,11/30/2019,23:18:01.474652,1,2014819,3,ET INFO Packed Executable Download ,Misc activity,3,TCP,185.205.210.118,80,192.168.4.125,50974
Exe Alert,Delivery,11/30/2019,23:18:01.573998,1,2018572,2,ET HUNTING HTTP Executable Download from suspicious domain with direct request/fake browser (multiple families)  ,A Network Trojan was detected,1,TCP,185.205.210.118,80,192.168.4.125,50974
Exe Alert,Delivery,11/30/2019,23:18:03.230051,1,2022896,6,ET HUNTING SUSPICIOUS Firesale gTLD EXE DL with no Referer June 13 2016 ,A Network Trojan was detected,1,TCP,192.168.4.125,50974,185.205.210.118,80
Exe Alert,Delivery,11/30/2019,23:18:05.419962,1,2022896,6,ET HUNTING SUSPICIOUS Firesale gTLD EXE DL with no Referer June 13 2016 ,A Network Trojan was detected,1,TCP,192.168.4.125,50974,185.205.210.118,80
Exe Alert,Delivery,11/30/2019,23:18:07.060239,1,2022896,6,ET HUNTING SUSPICIOUS Firesale gTLD EXE DL with no Referer June 13 2016 ,A Network Trojan was detected,1,TCP,192.168.4.125,50974,185.205.210.118,80
Exe Alert,Delivery,11/30/2019,23:18:07.308340,1,2027250,4,ET INFO Dotted Quad Host DLL Request ,Potentially Bad Traffic,2,TCP,192.168.4.125,50984,35.246.108.168,80
