alert_type,fase,date,time,severity,sign_id,rev,rule_name,classification,priority,protocol,from_addr,from_port,to_addr,to_port
Exe Alert,Delivery,02/25/2020,00:34:29.164385,1,2027250,4,ET INFO Dotted Quad Host DLL Request ,Potentially Bad Traffic,2,TCP,192.168.4.70,50075,35.228.215.155,80
Exe Alert,Delivery,02/25/2020,00:34:30.006228,1,2018572,2,ET HUNTING HTTP Executable Download from suspicious domain with direct request/fake browser (multiple families)  ,A Network Trojan was detected,1,TCP,35.228.215.155,80,192.168.4.70,50075
Exe Alert,Delivery,02/25/2020,00:34:39.309929,1,2027262,4,ET INFO Dotted Quad Host ZIP Request ,Potentially Bad Traffic,2,TCP,192.168.4.70,50075,35.228.215.155,80
Exe Alert,Delivery,02/25/2020,00:34:39.910668,1,2014473,5,ET INFO JAVA - Java Archive Download By Vulnerable Client ,A Network Trojan was detected,1,TCP,35.228.215.155,80,192.168.4.70,50075
Malware Alert,Installation,02/25/2020,00:34:29.165847,1,2013036,7,ET MALWARE Java EXE Download by Vulnerable Version - Likely Driveby ,A Network Trojan was detected,1,TCP,35.228.215.155,80,192.168.4.70,50075
Malware Alert,Installation,02/25/2020,00:34:29.165847,1,2020569,1,ET MALWARE Unknown Trojan Downloading PE via MSSQL Connection to Non-Standard Port ,A Network Trojan was detected,1,TCP,35.228.215.155,80,192.168.4.70,50075
Malware Alert,Installation,02/25/2020,00:34:29.165847,1,2022050,3,ET MALWARE Likely Evil EXE download from dotted Quad by MSXMLHTTP M1 ,A Network Trojan was detected,1,TCP,35.228.215.155,80,192.168.4.70,50075
Malware Alert,Installation,02/25/2020,00:34:30.006228,1,2021312,2,ET MALWARE Likely Malicious wininet UA Downloading EXE ,A Network Trojan was detected,1,TCP,35.228.215.155,80,192.168.4.70,50075
Malware Alert,Installation,02/25/2020,00:34:30.006228,1,2022051,2,ET MALWARE Likely Evil EXE download from dotted Quad by MSXMLHTTP M2 ,A Network Trojan was detected,1,TCP,35.228.215.155,80,192.168.4.70,50075
Malware Alert,Installation,02/25/2020,00:34:30.006228,1,2022053,2,ET MALWARE Likely Evil EXE download from MSXMLHTTP non-exe extension M2 ,A Network Trojan was detected,1,TCP,35.228.215.155,80,192.168.4.70,50075
Malware Alert,Installation,02/25/2020,00:34:30.006228,1,2022653,2,ET MALWARE Likely Evil EXE download from WinHttpRequest non-exe extension ,A Network Trojan was detected,1,TCP,35.228.215.155,80,192.168.4.70,50075
Policy Alert,Data Exfiltartion,02/25/2020,00:34:30.014000,1,2018959,4,ET POLICY PE EXE or DLL Windows file download HTTP ,Potential Corporate Privacy Violation,1,TCP,35.228.215.155,80,192.168.4.70,50075
