alert_type,fase,date,time,severity,sign_id,rev,rule_name,classification,priority,protocol,from_addr,from_port,to_addr,to_port
Exe Alert,3 Delivery,07/29/2017,12:11:17.749815,1,2018572,2,ET HUNTING HTTP Executable Download from suspicious domain with direct request/fake browser (multiple families)  ,A Network Trojan was detected,1,TCP,104.236.97.71,80,192.168.4.154,49193
Malware Alert,5 Installation,07/29/2017,12:11:17.612006,1,2013036,7,ET MALWARE Java EXE Download by Vulnerable Version - Likely Driveby ,A Network Trojan was detected,1,TCP,104.236.97.71,80,192.168.4.154,49193
Malware Alert,5 Installation,07/29/2017,12:11:17.612006,1,2020569,1,ET MALWARE Unknown Trojan Downloading PE via MSSQL Connection to Non-Standard Port ,A Network Trojan was detected,1,TCP,104.236.97.71,80,192.168.4.154,49193
Malware Alert,5 Installation,07/29/2017,12:11:17.612006,1,2022050,3,ET MALWARE Likely Evil EXE download from dotted Quad by MSXMLHTTP M1 ,A Network Trojan was detected,1,TCP,104.236.97.71,80,192.168.4.154,49193
Malware Alert,5 Installation,07/29/2017,12:11:17.759378,1,2021312,2,ET MALWARE Likely Malicious wininet UA Downloading EXE ,A Network Trojan was detected,1,TCP,104.236.97.71,80,192.168.4.154,49193
Malware Alert,5 Installation,07/29/2017,12:11:17.759378,1,2022051,2,ET MALWARE Likely Evil EXE download from dotted Quad by MSXMLHTTP M2 ,A Network Trojan was detected,1,TCP,104.236.97.71,80,192.168.4.154,49193
Malware Alert,5 Installation,07/29/2017,12:11:17.759378,1,2022053,2,ET MALWARE Likely Evil EXE download from MSXMLHTTP non-exe extension M2 ,A Network Trojan was detected,1,TCP,104.236.97.71,80,192.168.4.154,49193
Malware Alert,5 Installation,07/29/2017,12:11:17.759378,1,2022653,2,ET MALWARE Likely Evil EXE download from WinHttpRequest non-exe extension ,A Network Trojan was detected,1,TCP,104.236.97.71,80,192.168.4.154,49193
Policy Alert,7 Actions,07/29/2017,12:11:17.759378,1,2018959,4,ET POLICY PE EXE or DLL Windows file download HTTP ,Potential Corporate Privacy Violation,1,TCP,104.236.97.71,80,192.168.4.154,49193
Phising Alert,3 Delivery,09/02/2016,00:42:52.732441,1,2018302,5,ET PHISHING Possible Phish - Mirrored Website Comment Observed ,A Network Trojan was detected,1,TCP,69.64.36.212,80,192.168.4.175,49510
Exe Alert,3 Delivery,09/02/2016,00:42:52.494480,1,2030802,1,ET HUNTING Suspicious GET To gate.php with no Referer ,Potentially Bad Traffic,2,TCP,192.168.4.175,49510,69.64.36.212,80
Exe Alert,3 Delivery,04/18/2017,18:37:17.263839,1,2031747,1,ET HUNTING Observed Interesting Content-Type Inbound (application/x-sh) ,Potential Corporate Privacy Violation,1,TCP,92.53.104.104,80,192.168.2.19,49507
Exe Alert,3 Delivery,04/18/2017,18:37:31.740347,1,2023882,4,ET INFO HTTP Request to a *.top domain ,Potentially Bad Traffic,2,TCP,192.168.2.19,49510,51.141.33.47,80
Exe Alert,3 Delivery,04/18/2017,18:37:33.867877,1,2016538,3,ET INFO Executable Retrieved With Minimal HTTP Headers - Potential Second Stage Download ,Potentially Bad Traffic,2,TCP,51.141.33.47,80,192.168.2.19,49511
Exe Alert,3 Delivery,04/18/2017,18:37:33.867877,1,2018572,2,ET HUNTING HTTP Executable Download from suspicious domain with direct request/fake browser (multiple families)  ,A Network Trojan was detected,1,TCP,51.141.33.47,80,192.168.2.19,49511
Exe Alert,3 Delivery,04/18/2017,18:37:40.445859,1,2025097,4,ET INFO HTTP POST Request to Suspicious *.gdn Domain ,Potentially Bad Traffic,2,TCP,192.168.2.19,49512,51.141.33.47,80
Exe Alert,3 Delivery,04/18/2017,18:37:54.870338,1,2025097,4,ET INFO HTTP POST Request to Suspicious *.gdn Domain ,Potentially Bad Traffic,2,TCP,192.168.2.19,49521,51.141.33.47,80
Exe Alert,3 Delivery,04/18/2017,18:37:56.098049,1,2025097,4,ET INFO HTTP POST Request to Suspicious *.gdn Domain ,Potentially Bad Traffic,2,TCP,192.168.2.19,49525,51.141.33.47,80
Exe Alert,3 Delivery,04/18/2017,18:37:48.955458,1,2025097,4,ET INFO HTTP POST Request to Suspicious *.gdn Domain ,Potentially Bad Traffic,2,TCP,192.168.2.19,49513,51.141.33.47,80
Exe Alert,3 Delivery,04/18/2017,18:37:52.908791,1,2025097,4,ET INFO HTTP POST Request to Suspicious *.gdn Domain ,Potentially Bad Traffic,2,TCP,192.168.2.19,49515,51.141.33.47,80
Exe Alert,3 Delivery,04/18/2017,18:37:53.941773,1,2025097,4,ET INFO HTTP POST Request to Suspicious *.gdn Domain ,Potentially Bad Traffic,2,TCP,192.168.2.19,49516,51.141.33.47,80
Exe Alert,3 Delivery,04/18/2017,18:37:54.003336,1,2025097,4,ET INFO HTTP POST Request to Suspicious *.gdn Domain ,Potentially Bad Traffic,2,TCP,192.168.2.19,49519,51.141.33.47,80
Exe Alert,3 Delivery,04/18/2017,18:37:54.666746,1,2025097,4,ET INFO HTTP POST Request to Suspicious *.gdn Domain ,Potentially Bad Traffic,2,TCP,192.168.2.19,49522,51.141.33.47,80
Exe Alert,3 Delivery,04/18/2017,18:38:11.894233,1,2025097,4,ET INFO HTTP POST Request to Suspicious *.gdn Domain ,Potentially Bad Traffic,2,TCP,192.168.2.19,49531,51.141.33.47,80
Exe Alert,3 Delivery,04/18/2017,18:38:12.869203,1,2025097,4,ET INFO HTTP POST Request to Suspicious *.gdn Domain ,Potentially Bad Traffic,2,TCP,192.168.2.19,49535,51.141.33.47,80
Exe Alert,3 Delivery,04/18/2017,18:38:58.419063,1,2016538,3,ET INFO Executable Retrieved With Minimal HTTP Headers - Potential Second Stage Download ,Potentially Bad Traffic,2,TCP,51.141.33.47,80,192.168.2.19,49538
Exe Alert,3 Delivery,04/18/2017,18:38:58.419063,1,2018572,2,ET HUNTING HTTP Executable Download from suspicious domain with direct request/fake browser (multiple families)  ,A Network Trojan was detected,1,TCP,51.141.33.47,80,192.168.2.19,49538
Exe Alert,3 Delivery,04/18/2017,18:39:13.983021,1,2025097,4,ET INFO HTTP POST Request to Suspicious *.gdn Domain ,Potentially Bad Traffic,2,TCP,192.168.2.19,49539,51.141.33.47,80
Exe Alert,3 Delivery,04/18/2017,18:38:57.220705,1,2023882,4,ET INFO HTTP Request to a *.top domain ,Potentially Bad Traffic,2,TCP,192.168.2.19,49537,51.141.33.47,80
Exe Alert,3 Delivery,04/18/2017,18:40:21.423388,1,2023882,4,ET INFO HTTP Request to a *.top domain ,Potentially Bad Traffic,2,TCP,192.168.2.19,49544,51.141.33.47,80
Exe Alert,3 Delivery,04/18/2017,18:39:14.806685,1,2025097,4,ET INFO HTTP POST Request to Suspicious *.gdn Domain ,Potentially Bad Traffic,2,TCP,192.168.2.19,49543,51.141.33.47,80
Exe Alert,3 Delivery,04/18/2017,18:41:45.993221,1,2023882,4,ET INFO HTTP Request to a *.top domain ,Potentially Bad Traffic,2,TCP,192.168.2.19,49546,51.141.33.47,80
Exe Alert,3 Delivery,04/18/2017,18:40:22.523318,1,2016538,3,ET INFO Executable Retrieved With Minimal HTTP Headers - Potential Second Stage Download ,Potentially Bad Traffic,2,TCP,51.141.33.47,80,192.168.2.19,49545
Exe Alert,3 Delivery,04/18/2017,18:40:22.523318,1,2018572,2,ET HUNTING HTTP Executable Download from suspicious domain with direct request/fake browser (multiple families)  ,A Network Trojan was detected,1,TCP,51.141.33.47,80,192.168.2.19,49545
Exe Alert,3 Delivery,04/18/2017,18:41:47.095556,1,2016538,3,ET INFO Executable Retrieved With Minimal HTTP Headers - Potential Second Stage Download ,Potentially Bad Traffic,2,TCP,51.141.33.47,80,192.168.2.19,49547
Exe Alert,3 Delivery,04/18/2017,18:41:47.095556,1,2018572,2,ET HUNTING HTTP Executable Download from suspicious domain with direct request/fake browser (multiple families)  ,A Network Trojan was detected,1,TCP,51.141.33.47,80,192.168.2.19,49547
Exe Alert,3 Delivery,04/18/2017,18:44:36.995097,1,2016538,3,ET INFO Executable Retrieved With Minimal HTTP Headers - Potential Second Stage Download ,Potentially Bad Traffic,2,TCP,51.141.33.47,80,192.168.2.19,49551
Exe Alert,3 Delivery,04/18/2017,18:44:36.995097,1,2018572,2,ET HUNTING HTTP Executable Download from suspicious domain with direct request/fake browser (multiple families)  ,A Network Trojan was detected,1,TCP,51.141.33.47,80,192.168.2.19,49551
Exe Alert,3 Delivery,04/18/2017,18:43:09.724146,1,2023882,4,ET INFO HTTP Request to a *.top domain ,Potentially Bad Traffic,2,TCP,192.168.2.19,49548,51.141.33.47,80
Exe Alert,3 Delivery,04/18/2017,18:43:11.494568,1,2016538,3,ET INFO Executable Retrieved With Minimal HTTP Headers - Potential Second Stage Download ,Potentially Bad Traffic,2,TCP,51.141.33.47,80,192.168.2.19,49549
